NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
Chalet;hoteles;Urbanizacion Pocillos, 25 45920 , Spain;4016753;-417019;;;;;;;
Piscina Municipal;hoteles;Avenida Castilla la Mancha, 1X 45183 Las Ventas de Retamosa, Spain;4015971;-412168;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Skatepark de Las Ventas de Retamosa;hoteles;Calle López Fernández, 20 45183 Las Ventas de Retamosa, Spain;4015171;-411855;;;;;;;
Pistas de pádel;hoteles;Calle Doñana, 5 45183 Las Ventas de Retamosa, Spain;4016001;-412078;;;;;;;
Campo de Fútbol Municipal de Las Ventas de Retamosa.;hoteles;Calle Doñana, 5 45183 Las Ventas de Retamosa, Spain;4016014;-412057;;;;;;;
Polideportivo Municipal;hoteles;Calle Doñana, 3 45183 Las Ventas de Retamosa, Spain;4016031;-412050;;;;;;;
Consultorio Local Ventas De Retamosa;hoteles;,  45183 Las Ventas de Retamosa, Spain;4015660;-411822;;https://sescam.castillalamancha.es/ciudadanos/centros/ventas-de-retamosa#zoom=15&lat=40.1559&lon=-4.1156&layers=BT;918 17 42 13;Monday: 8:15?AM?–?2:45?PM | Tuesday: 8:15?AM?–?2:45?PM | Wednesday: 8:15?AM?–?2:45?PM | Thursday: 8:15?AM?–?2:45?PM | Friday: 8:15?AM?–?2:45?PM | Saturday: Closed | Sunday: Closed;;;
Valconjero;hoteles;,  45180 , Spain;4012497;-414568;;;;;;;
Servicio de Salud de Castilla la Mancha;hoteles;Calle Tejar, 3 45183 Las Ventas de Retamosa, Spain;4015656;-411799;;;;;;;
Parque;hoteles;Calle Somiedo, 3 45183 Las Ventas de Retamosa, Spain;4015976;-411878;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Centro Social Polivalente;hoteles;Calle Rodríguez de la Fuente, 5 45183 Las Ventas de Retamosa, Spain;4015748;-411761;;;;Monday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Tuesday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Wednesday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Thursday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Friday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
Urbanizacion los pocillos;hoteles;Carretera de las Ventas de Retamosa,  45920 , Spain;4017126;-416934;;;;;;;
Hiper Euro;hoteles;Calle Rodríguez de la Fuente, 3B 45183 Las Ventas de Retamosa, Spain;4015719;-411712;;;;Monday: 9:30?AM?–?2:00?PM, 5:00?–?9:00?PM | Tuesday: 9:30?AM?–?2:00?PM, 5:00?–?9:00?PM | Wednesday: 9:30?AM?–?2:00?PM, 5:00?–?9:00?PM | Thursday: 9:30?AM?–?2:00?PM, 5:00?–?9:00?PM | Friday: 9:30?AM?–?2:00?PM, 5:00?–?9:00?PM | Saturday: 9:30?AM?–?2:00?PM, 5:00?–?9:00?PM | Sunday: 9:30?AM?–?2:00?PM, 5:00?–?9:00?PM;;;
Piscinas aqualuxe;hoteles;Calle Ordesa,  45183 Las Ventas de Retamosa, Spain;4015992;-411823;;;680 50 86 49;Monday: 9:00?AM?–?7:00?PM | Tuesday: 9:00?AM?–?7:00?PM | Wednesday: 9:00?AM?–?7:00?PM | Thursday: 9:00?AM?–?7:00?PM | Friday: 9:00?AM?–?7:00?PM | Saturday: Closed | Sunday: Closed;;;
Parada De Autobus (Dirección Toledo);hoteles;Calle López Fernández,  45183 Las Ventas de Retamosa, Spain;4015273;-411572;;;;;;;
Virgen del Carmen Soc. Cooperativa;hoteles;Calle Rodríguez de la Fuente, 4 45183 Las Ventas de Retamosa, Spain;4015735;-411680;;;;Monday: 9:00?AM?–?1:00?PM, 3:00?–?6:00?PM | Tuesday: 9:00?AM?–?1:00?PM, 3:00?–?6:00?PM | Wednesday: 9:00?AM?–?1:00?PM, 3:00?–?6:00?PM | Thursday: 9:00?AM?–?1:00?PM, 3:00?–?6:00?PM | Friday: 9:00?AM?–?1:00?PM, 3:00?–?6:00?PM | Saturday: 9:00?AM?–?1:00?PM | Sunday: Closed;;;
Churrería Angela;hoteles;Calle Calvo Sotelo, 25 45183 Las Ventas de Retamosa, Spain;4015280;-411542;;https://www.instagram.com/churreriaangela?igsh=MXN4bWdlZXlzdzE5Yg==;635 71 97 01;;;;
PARADA BUS VENTAS DE RETAMOSA;hoteles;Calle Calvo Sotelo, 39B 45183 Las Ventas de Retamosa, Spain;4015343;-411538;;;;;;;
