PLACE_ID,NOMBRE_TUI,TIPOS_API,TIPOS_TODOS,CATEGORIA_TUI,DIRECCION,RATING_TUI,TOTAL_VALORACIONES_TUI,PRECIO,ESTADO_NEGOCIO,LATITUD_TUI,LONGITUD_TUI,URL,WEBSITE,HORARIO,TELEFONO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS
ChIJt2ST02qIQQ0REoC6EJ8sMXI,Domino's Pizza,Restaurantes,pizza_restaurant; meal_delivery; food_delivery; american_restaurant; meal_takeaway; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Maqueda, 44, Latina, 28934 Madrid, Spain",3.7,1265,Barato,Abierto,40.39264,-3.7641,https://www.google.com/maps/place/?q=place_id:ChIJt2ST02qIQQ0REoC6EJ8sMXI,https://www.dominospizza.es/,"['Monday: 12:30\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:30\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:30\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:30\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:30\u202fPM\u2009–\u200912:30\u202fAM', 'Saturday: 12:30\u202fPM\u2009–\u200912:30\u202fAM', 'Sunday: 12:30\u202fPM\u2009–\u200912:00\u202fAM']",915 18 87 91,False,False
ChIJn8EgqmuIQQ0R50wcwpzCfB4,Restaurante Bahía De Vigo,Restaurantes,restaurant; spanish_restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Maqueda, 26, Latina, 28024 Madrid, Spain",4.3,1099,Barato,Abierto,40.3935351,-3.7663647000000005,https://www.google.com/maps/place/?q=place_id:ChIJn8EgqmuIQQ0R50wcwpzCfB4,,"['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 10:00\u202fAM\u2009–\u200912:00\u202fAM']",915 18 59 38,True,False
ChIJxetg8myIQQ0RTmjOLFmUxM8,Pizzería El Kiosko de Pizza,Restaurantes,pizza_restaurant; italian_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Illescas, 5, Latina, 28024 Madrid, Spain",4.5,1226,Barato,Abierto,40.397039299999996,-3.7656783,https://www.google.com/maps/place/?q=place_id:ChIJxetg8myIQQ0RTmjOLFmUxM8,http://www.elkioskodelapizza.es/,"['Monday: Closed', 'Tuesday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM']",915 18 55 20,True,True
ChIJnRy8qWyIQQ0RB21Xc1Qb8b4,Restaurante San Matías,Restaurantes,restaurant; coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Illescas, 57, Latina, 28024 Madrid, Spain",4.2,1613,Moderado,Abierto,40.3957263,-3.7641939999999994,https://www.google.com/maps/place/?q=place_id:ChIJnRy8qWyIQQ0RB21Xc1Qb8b4,,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:30\u202fPM', 'Sunday: Closed']",915 18 10 73,True,True
ChIJ05qbomyIQQ0Rrq_A4BdK7Tg,Cervecería la Taberna,Restaurantes,bar_and_grill; bar; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Illescas, 18, Latina, 28024 Madrid, Spain",4.3,618,Barato,Abierto,40.395993399999995,-3.7648759999999997,https://www.google.com/maps/place/?q=place_id:ChIJ05qbomyIQQ0Rrq_A4BdK7Tg,,"['Monday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u20091:30\u202fAM']",911 30 11 32,True,False
ChIJG0cvZWqIQQ0RQ1v_LjKxDg4,Cocedero de Marisco Portoson,Restaurantes,seafood_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"Av. del Padre Piquer, 29, Latina, 28024 Madrid, Spain",4.4,561,Barato,Abierto,40.391261799999995,-3.7669329000000005,https://www.google.com/maps/place/?q=place_id:ChIJG0cvZWqIQQ0RQ1v_LjKxDg4,https://marisqueriaportoson.readyme.es/,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20093:30\u202fPM']",917 11 00 95,True,True
ChIJW8wXsGqIQQ0RlpkWtkd4PEA,Turquish kebab,Restaurantes,fast_food_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Tembleque, 103, Latina, 28024 Madrid, Spain",4.2,186,Barato,Abierto,40.3912283,-3.7643747,https://www.google.com/maps/place/?q=place_id:ChIJW8wXsGqIQQ0RlpkWtkd4PEA,,"['Monday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']",915 09 90 77,False,False
ChIJUxJRh7GJQQ0R5-4vwOYBiFI,ALUCHEBLATT BURGER & BAR,Restaurantes,bar; hamburger_restaurant; bar_and_grill; american_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Maqueda, 38, Latina, 28024 Madrid, Spain",4.6,392,Barato,Abierto,40.3931195,-3.7653062,https://www.google.com/maps/place/?q=place_id:ChIJUxJRh7GJQQ0R5-4vwOYBiFI,,"['Monday: Closed', 'Tuesday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u2009–\u20095:00\u202fPM']",695 08 76 21,True,True
ChIJQansVbCJQQ0RsuW6oo-ovSo,Izumo Aluche,Restaurantes,japanese_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Guareña, 4, Latina, 28044 Madrid, Spain",4.1,909,Moderado,Abierto,40.3887894,-3.7663182,https://www.google.com/maps/place/?q=place_id:ChIJQansVbCJQQ0RsuW6oo-ovSo,https://aluche.izumo.es/,"['Monday: 12:30\u2009–\u20094:30\u202fPM, 8:15\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:30\u2009–\u20094:30\u202fPM, 8:15\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:30\u2009–\u20094:30\u202fPM, 8:15\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:30\u2009–\u20094:30\u202fPM, 8:15\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:30\u2009–\u20094:30\u202fPM, 8:15\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:30\u2009–\u20094:30\u202fPM, 8:15\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:30\u2009–\u20094:30\u202fPM, 8:15\u202fPM\u2009–\u200912:00\u202fAM']",919 47 83 41,True,True
ChIJ9Sfom2eJQQ0RdzwOtprBHGU,Bella Ciao Ristorante Pizzeria,Restaurantes,italian_restaurant; pizza_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Tembleque, 68, Latina, 28024 Madrid, Spain",4.7,947,Barato,Abierto,40.3949426,-3.7596395999999994,https://www.google.com/maps/place/?q=place_id:ChIJ9Sfom2eJQQ0RdzwOtprBHGU,https://bella-ciao.it/,"['Monday: 1:30\u2009–\u20094:00\u202fPM, 8:30\u2009–\u200911:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 1:30\u2009–\u20094:00\u202fPM, 8:30\u2009–\u200911:00\u202fPM', 'Thursday: 1:30\u2009–\u20094:00\u202fPM, 8:30\u2009–\u200911:00\u202fPM', 'Friday: 1:30\u2009–\u20094:30\u202fPM, 8:30\u2009–\u200911:30\u202fPM', 'Saturday: 1:30\u2009–\u20094:30\u202fPM, 8:30\u2009–\u200911:30\u202fPM', 'Sunday: 1:30\u2009–\u20094:30\u202fPM, 8:30\u2009–\u200911:00\u202fPM']",919 47 98 45,True,False
