NOMBRE_TUI;TIPOS_TUI;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
El Rincón de la Plaza;Cafés;Gastronomía y ocio nocturno;Pl. Mayor, 10, Centro, 28012 Madrid, Spain;3,7;3;;Abierto;404149;370810;https://maps.google.com/?cid=3627343534025269685;;Monday: 8:30?AM?–?11:00?PM | Tuesday: 8:30?AM?–?11:00?PM | Wednesday: 8:30?AM?–?11:00?PM | Thursday: 8:30?AM?–?11:00?PM | Friday: 8:30?AM?–?11:00?PM | Saturday: 8:30?AM?–?11:00?PM | Sunday: 8:30?AM?–?11:00?PM;;FALSO;FALSO
Embassy of the Republic of Armenia;Consulados, Embajadas;Instituciones y servicios públicos;C. Mayor, 81, Centro, 28013 Madrid, Spain;3,4;115;;Abierto;404149;371386;https://maps.google.com/?cid=9540327669682717887;http://www.spain.mfa.am/;Monday: 9:00?AM?–?6:00?PM | Tuesday: 9:00?AM?–?6:00?PM | Wednesday: 9:00?AM?–?6:00?PM | Thursday: 9:00?AM?–?6:00?PM | Friday: 9:00?AM?–?6:00?PM | Saturday: Closed | Sunday: Closed;915 42 26 27;FALSO;FALSO
Dr. Rodríguez Zazo - Consulta de ETS en Madrid;Clínicas;Instituciones y servicios públicos;Pl. del Callao, 1, Centro, 28013 Madrid, Spain;4,2;26;;Abierto;404197;370628;https://maps.google.com/?cid=11216454120836632651;https://jarodriguezzazo.net/;Monday: 10:30?AM?–?1:30?PM, 5:30?–?8:30?PM | Tuesday: 10:30?AM?–?1:30?PM, 5:30?–?8:30?PM | Wednesday: 10:30?AM?–?1:30?PM, 5:30?–?8:30?PM | Thursday: 10:30?AM?–?1:30?PM, 5:30?–?8:30?PM | Friday: 10:30?AM?–?1:30?PM, 5:30?–?8:30?PM | Saturday: 11:30?AM?–?1:30?PM, 6:00?–?8:00?PM | Sunday: 11:30?AM?–?1:30?PM, 6:00?–?8:00?PM;919 11 91 80;FALSO;FALSO
Best Doctors;Clínicas;Instituciones y servicios públicos;C. de Almagro, 36, 1ª planta, Chamberí, 28010 Madrid, Spain;4,6;37;;Cerrado temporalmente;404310;369207;https://maps.google.com/?cid=10029882299748973913;;;900 352 680;FALSO;FALSO
Desigual;Mercados, Perfumerías, Tiendas, Tiendas de ropa;Compras;Calle de Fuencarral, 36-38, Centro, 28004 Madrid, Spain;4,2;287;;Abierto;404226;370067;https://maps.google.com/?cid=847304801719703398;https://www.desigual.com/;Monday: 10:00?AM?–?9:00?PM | Tuesday: 10:00?AM?–?9:00?PM | Wednesday: 10:00?AM?–?9:00?PM | Thursday: 10:00?AM?–?9:00?PM | Friday: 10:00?AM?–?9:00?PM | Saturday: 10:00?AM?–?9:00?PM | Sunday: 12:00?–?8:00?PM;910 59 40 87;FALSO;FALSO
Descuento Express;Centros comerciales;Compras;C. de Ventura Rodríguez, Moncloa - Aravaca, 28008 Madrid, Spain;0;0;;Abierto;404249;371410;https://maps.google.com/?cid=4804940417057728077;http://www.descuentoexpress.com/;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;FALSO;FALSO
El Corte Inglés Outlet;Centros comerciales;Compras;C. de Arapiles, 10, Chamberí, 28015 Madrid, Spain;3,9;78;;Abierto;404332;370687;https://maps.google.com/?cid=15186254485956468098;https://www.elcorteingles.es/centroscomerciales/es/outlet/centros/outlet-arapiles;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;918 39 85 22;FALSO;VERDADERO
Paraninfo Universidad Complutense de Madrid;Universidades;Instituciones y servicios públicos;C. de San Bernardo, 49, Centro, 28015 Madrid, Spain;4,6;269;;Abierto;404252;370758;https://maps.google.com/?cid=12433582324490424828;http://www.ucm.es/;;913 94 66 12;FALSO;VERDADERO
Mutua Sanit Nal Prev Social;Hospitales;Instituciones y servicios públicos;C. de Concepción Jerónima, 13, Centro, 28012 Madrid, Spain;0;0;;Cerrado temporalmente;404138;370527;https://maps.google.com/?cid=2692105422859170220;;;911 96 33 73;FALSO;FALSO
Gasolinera Gesa;Gasolineras;Transporte;C. de Alberto Aguilera, Chamberí, 28015 Madrid, Spain;4,7;3;;Abierto;404301;370873;https://maps.google.com/?cid=14526498534086510646;;;;FALSO;FALSO
Kiehls;Centros comerciales;Compras;C. de Preciados, 3, Centro, 28013 Madrid, Spain;4,7;166;;Abierto;404175;370481;https://maps.google.com/?cid=15714640936407972392;https://www.kiehls.es/;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;655 53 45 74;FALSO;VERDADERO
Salvador Bachiller - Alberto Aguilera;Zapaterías;Compras;C. de Alberto Aguilera, 54, Chamberí, 28015 Madrid, Spain;4,1;1033;;Abierto;404304;371287;https://maps.google.com/?cid=17844463221790513972;http://www.salvadorbachiller.com/;Monday: 10:00?AM?–?9:00?PM | Tuesday: 10:00?AM?–?9:00?PM | Wednesday: 10:00?AM?–?9:00?PM | Thursday: 10:00?AM?–?9:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;915 47 75 85;FALSO;VERDADERO
Aparcamiento de movilidad reducida;Aparcamientos;Transporte;Sol, Centro, 28013 Madrid, Spain;0;0;;Abierto;404182;370266;https://maps.google.com/?cid=13615821466662755053;;;;FALSO;VERDADERO
CIEE Study Abroad Madrid;Colegios;Instituciones y servicios públicos;C. de la Aduana, 33, Centro, 28013 Madrid, Spain;4,1;22;;Abierto;404185;369979;https://maps.google.com/?cid=15245428339450552702;https://www.ciee.org/go-abroad/college-study-abroad/locations/spain/madrid?utm_source=google&utm_medium=organic&utm_campaign=gmb-website;Monday: 9:00?AM?–?7:00?PM | Tuesday: 9:00?AM?–?7:00?PM | Wednesday: 9:00?AM?–?7:00?PM | Thursday: 9:00?AM?–?7:00?PM | Friday: 9:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;914 18 31 74;FALSO;VERDADERO
CEMAR academia de música y alquiler aulas estudio y ensayo. clases instrumentos niños (suzuki) y adultos;Colegios;Instituciones y servicios públicos;C. de la Unión, 10, Centro, 28013 Madrid, Spain;4,8;11;;Abierto;404175;371041;https://maps.google.com/?cid=6560992965625885500;;Monday: 4:00?–?8:30?PM | Tuesday: 4:00?–?8:30?PM | Wednesday: 11:00?AM?–?1:30?PM, 4:00?–?8:30?PM | Thursday: 4:00?–?8:30?PM | Friday: 4:00?–?8:30?PM | Saturday: Closed | Sunday: Closed;695 94 78 64;FALSO;FALSO
Edén de Huertas Bar de Copas y Cachimbas;Discotecas;Gastronomía y ocio nocturno;C. de las Huertas, 67, Centro, 28014 Madrid, Spain;4,8;490;Barato;Abierto;404132;369589;https://maps.google.com/?cid=16308287081532095262;https://eledendehuertas.com/;Monday: Closed | Tuesday: 6:00?PM?–?3:00?AM | Wednesday: 6:00?PM?–?3:00?AM | Thursday: 6:00?PM?–?3:00?AM | Friday: 6:00?PM?–?3:30?AM | Saturday: 6:00?PM?–?3:30?AM | Sunday: 6:00?PM?–?3:00?AM;667 90 47 26;VERDADERO;FALSO
Desberdina;Cines, Teatros;Cultura y arte;C. de Rodríguez San Pedro, 16, Chamberí, 28015 Madrid, Spain;0;0;;Abierto;404316;370913;https://maps.google.com/?cid=13268728280386099629;https://desberdina.com/;Monday: 9:00?AM?–?6:00?AM | Tuesday: 9:00?AM?–?6:00?AM | Wednesday: 9:00?AM?–?6:00?AM | Thursday: 9:00?AM?–?6:00?AM | Friday: 9:00?AM?–?6:00?AM | Saturday: Closed | Sunday: Closed;609 33 34 14;FALSO;FALSO
Calzados Diez;Zapaterías;Compras;C. del Carmen, 18, Centro, 28013 Madrid, Spain;3,9;141;;Abierto;404187;370461;https://maps.google.com/?cid=10555751710128656182;http://www.calzadosdiez.com/;Monday: 9:30?AM?–?9:30?PM | Tuesday: 9:30?AM?–?9:30?PM | Wednesday: 9:30?AM?–?9:30?PM | Thursday: 9:30?AM?–?9:30?PM | Friday: 9:30?AM?–?9:30?PM | Saturday: 9:30?AM?–?9:30?PM | Sunday: 11:00?AM?–?9:30?PM;915 22 34 33;FALSO;FALSO
Casa de La Villa. City of Madrid;Ayuntamientos;Instituciones y servicios públicos;Pl. de la Villa, 5, Centro, 28005 Madrid, Spain;4,7;138;;Abierto;404151;371077;https://maps.google.com/?cid=17354858084153630031;https://www.esmadrid.com/informacion-turistica/casa-de-la-villa;;;FALSO;VERDADERO
Vestíbulo estación tirso de molina;Centros culturales, Museos;Cultura y arte;Embajadores, Centro, 28012 Madrid, Spain;4;1;;Abierto;404123;370432;https://maps.google.com/?cid=1919359052571385940;https://museosmetromadriddesarrollo.es/tirso-de-molina/;Monday: 6:00?AM?–?1:30?AM | Tuesday: 6:00?AM?–?1:30?AM | Wednesday: 6:00?AM?–?1:30?AM | Thursday: 6:00?AM?–?1:30?AM | Friday: 6:00?AM?–?1:30?AM | Saturday: 6:00?AM?–?1:30?AM | Sunday: 6:00?AM?–?1:30?AM;;FALSO;FALSO
Carrefour Express;Supermercados;Compras;C. de Sta. Isabel, 28, 30, Centro, 28012 Madrid, Spain;3,9;514;;Abierto;404109;369848;https://maps.google.com/?cid=8735639619588914269;https://www.carrefour.es/tiendas-carrefour/supermercados/carrefour-express/santa-isabel-28-s.aspx;Monday: 9:00?AM?–?11:00?PM | Tuesday: 9:00?AM?–?11:00?PM | Wednesday: 9:00?AM?–?11:00?PM | Thursday: 9:00?AM?–?11:00?PM | Friday: 9:00?AM?–?11:00?PM | Saturday: 9:00?AM?–?11:00?PM | Sunday: 10:00?AM?–?10:00?PM;914 90 89 00;FALSO;VERDADERO
Centro de día Santa Teresa y San José;Basílicas, Catedrales, Conventos, Ermitas, Iglesias, Monasterios;Religión;C. de Cadarso, 13, Moncloa - Aravaca, 28008 Madrid, Spain;4;3;;Abierto;404220;371514;https://maps.google.com/?cid=14437674856341630322;;Monday: 5:30?–?8:00?PM | Tuesday: 5:30?–?8:00?PM | Wednesday: 5:30?–?8:00?PM | Thursday: 5:30?–?8:00?PM | Friday: 5:30?–?8:00?PM | Saturday: 11:00?AM?–?1:30?PM, 5:30?–?8:00?PM | Sunday: 11:00?AM?–?1:30?PM, 5:30?–?8:00?PM;;FALSO;VERDADERO
