NOMBRE_TUI;TIPOS_TUI;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
Church of the Calatravas;Basílicas, Catedrales, Conventos, Ermitas, Iglesias, Monasterios;Religión;C. Alcalá, 25, Centro, 28014 Madrid, Spain;4,5;923;;Abierto;404183;369909;https://maps.google.com/?cid=7963736608915626396;http://www.iglesiacalatravas.com/;Monday: 7:45?AM?–?1:00?PM | Tuesday: 7:45?AM?–?1:00?PM, 6:00?–?8:00?PM | Wednesday: 7:45?AM?–?1:00?PM, 6:00?–?8:00?PM | Thursday: 7:45?AM?–?1:00?PM, 5:45?–?9:00?PM | Friday: 7:45?AM?–?1:00?PM, 6:00?–?8:00?PM | Saturday: 7:30?–?9:00?AM, 6:30?–?8:00?PM | Sunday: 11:30?AM?–?1:30?PM;915 21 80 35;FALSO;FALSO
SALA DE YOGA ESPACIO ALMA MADRID;Gimnasios;Bienestar y deporte;CALLE MONTERA 24, 3 PLANTA LETRA L, Centro, 28012 Madrid, Spain;5;5;;Abierto;404173;370309;https://maps.google.com/?cid=1755343495635508414;;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 10:00?AM?–?10:00?PM;635 64 88 29;FALSO;FALSO
Grazie Mille Mozzarella Bar Galería Canalejas;Bares, Cervecerías, Coctelerías, Mercados, Perfumerías, Tiendas;Compras, Gastronomía y ocio nocturno;Food Hall Galeria Canalejas, C. Alcalá, 12, planta -1, Centro, 28014 Madrid, Spain;4;1308;Moderado;Abierto;404171;370085;https://maps.google.com/?cid=6475974810791121469;http://www.graziemille.es/;Monday: 12:00?PM?–?12:00?AM | Tuesday: 12:00?PM?–?12:00?AM | Wednesday: 12:00?PM?–?12:00?AM | Thursday: 12:00?PM?–?12:00?AM | Friday: 12:00?PM?–?1:00?AM | Saturday: 12:00?PM?–?1:00?AM | Sunday: 12:00?PM?–?12:00?AM;633 16 28 31;VERDADERO;VERDADERO
Cash Converters;Joyerías, Mercados, Perfumerías, Tiendas;Compras;C. de San Bernardo, 97, Chamberí, 28015 Madrid, Spain;3,9;1099;;Abierto;404305;370569;https://maps.google.com/?cid=14601445756410370771;https://cashconverters.es/tiendas/madrid/san-bernardo/;Monday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Tuesday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Wednesday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Thursday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Friday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Saturday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Sunday: Closed;914 46 99 90;FALSO;FALSO
Casa de Lope de Vega Garden;Jardines, Parques, Parques naturales;Naturaleza y actividades al aire libre;Calle de Cervantes, 11, Centro, 28014 Madrid, Spain;4,8;12;;Abierto;404144;369744;https://maps.google.com/?cid=8701814775326012241;https://www.casamuseolopedevega.org/es/la-casa-museo/el-edificio/el-huerto-y-el-jardin;Monday: Closed | Tuesday: 10:00?AM?–?6:00?PM | Wednesday: 10:00?AM?–?6:00?PM | Thursday: 10:00?AM?–?6:00?PM | Friday: 10:00?AM?–?6:00?PM | Saturday: 10:00?AM?–?6:00?PM | Sunday: 10:00?AM?–?6:00?PM;914 29 92 16;FALSO;VERDADERO
Clínica Dra. Sandra de Oliveira;Hospitales;Instituciones y servicios públicos;C. de Antonio Maura, 7, Bajo Derecha, Retiro, 28014 Madrid, Spain;4,8;89;;Abierto;404168;369065;https://maps.google.com/?cid=12650433470005963491;https://drasandradeoliveira.com/;Monday: 10:00?AM?–?8:00?PM | Tuesday: 10:00?AM?–?8:00?PM | Wednesday: 10:00?AM?–?8:00?PM | Thursday: 10:00?AM?–?8:00?PM | Friday: 10:00?AM?–?8:00?PM | Saturday: 10:00?AM?–?3:00?PM | Sunday: Closed;639 74 00 38;FALSO;FALSO
Consulado General de Uruguay;Consulados, Embajadas;Instituciones y servicios públicos;8, P.º del Pintor Rosales, 32, Moncloa - Aravaca, 28008 Madrid, Spain;4,4;117;;Abierto;404273;371985;https://maps.google.com/?cid=844421672620641980;http://www.consuladouy-bcn.es/;Monday: 9:00?AM?–?3:00?PM | Tuesday: 9:00?AM?–?3:00?PM | Wednesday: 9:00?AM?–?3:00?PM | Thursday: 9:00?AM?–?3:00?PM | Friday: 9:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;915 48 22 82;FALSO;VERDADERO
Supermercado El Corte Inglés;Supermercados;Compras;C. de Preciados, 3, Centro, 28013 Madrid, Spain;4,3;23139;;Abierto;404175;370456;https://maps.google.com/?cid=17051747579133092363;http://www.elcorteingles.es/supermercado/;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;913 79 80 00;FALSO;VERDADERO
Tous Jewerly;Joyerías;Compras;Calle de Preciados, C. de Preciados, 3, Centro, 28013 Madrid, Spain;3,3;72;;Abierto;404174;370461;https://maps.google.com/?cid=14639393159869391136;https://www.tous.com/es-es/;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;618 93 37 17;FALSO;VERDADERO
Pronovias Madrid Arenal - Vestidos de Novia;Tiendas de ropa, Zapaterías;Compras;C. del Arenal, 5, Centro, 28013 Madrid, Spain;4,4;750;;Abierto;404167;370540;https://maps.google.com/?cid=14427662171568988531;https://www.pronovias.com/es/tiendas/madrid-arenal;Monday: 10:00?AM?–?8:30?PM | Tuesday: 10:00?AM?–?8:30?PM | Wednesday: 10:00?AM?–?8:30?PM | Thursday: 10:00?AM?–?8:30?PM | Friday: 10:00?AM?–?8:30?PM | Saturday: 10:00?AM?–?8:30?PM | Sunday: 10:00?AM?–?6:00?PM;915 32 32 80;FALSO;FALSO
Psychology and Psychiatry Center Manuel Escudero;Clínicas;Instituciones y servicios públicos;C. de Ferraz, 31, 1ºa, Moncloa - Aravaca, 28008 Madrid, Spain;4,6;92;;Abierto;404279;371927;https://maps.google.com/?cid=12497766898779145784;https://manuelescudero.com/;Monday: 10:00?AM?–?1:30?PM, 4:30?–?8:00?PM | Tuesday: 10:00?AM?–?1:30?PM, 4:30?–?8:00?PM | Wednesday: 10:00?AM?–?1:30?PM, 4:30?–?8:00?PM | Thursday: 10:00?AM?–?1:30?PM, 4:30?–?8:00?PM | Friday: 10:00?AM?–?1:30?PM | Saturday: Closed | Sunday: Closed;915 47 31 86;FALSO;FALSO
Rafael Pérez Hernando galeria;Galerías de arte;Cultura y arte;C. de Orellana, 18, Centro, 28004 Madrid, Spain;4,7;27;;Cerrado temporalmente;404259;369406;https://maps.google.com/?cid=12722495873876022330;http://www.rphart.net/;;912 97 64 80;FALSO;VERDADERO
IMF Smart Education;Universidades;Instituciones y servicios públicos;C. de Bernardino Obregón, 25, 2°, Arganzuela, 28012 Madrid, Spain;3,9;693;;Abierto;404023;369852;https://maps.google.com/?cid=85406917561891089;https://www.imf-formacion.com/;;913 64 51 57;FALSO;VERDADERO
Scalpers;Tiendas de ropa;Compras;C. de Jorge Juan, 7, Salamanca, 28001 Madrid, Spain;4,1;463;;Abierto;404240;368699;https://maps.google.com/?cid=7311325755552996133;https://www.scalperscompany.com/?utm_source=GoogleBusinessProfile&utm_medium=websiteclick&utm_campaign=T041;Monday: 10:00?AM?–?9:00?PM | Tuesday: 10:00?AM?–?9:00?PM | Wednesday: 10:00?AM?–?9:00?PM | Thursday: 10:00?AM?–?9:00?PM | Friday: 10:00?AM?–?9:00?PM | Saturday: 10:00?AM?–?9:00?PM | Sunday: 12:00?–?8:00?PM;915 78 91 31;FALSO;FALSO
Farmacia Trébol Atocha;Farmacias;Compras;Pl. del Emperador Carlos V, 8, Centro, 28012 Madrid, Spain;4;87;;Abierto;404086;369270;https://maps.google.com/?cid=7171340097271103660;https://bit.ly/farmaciastrebolweb;Monday: 9:00?AM?–?10:00?PM | Tuesday: 9:00?AM?–?10:00?PM | Wednesday: 9:00?AM?–?10:00?PM | Thursday: 9:00?AM?–?10:00?PM | Friday: 9:00?AM?–?10:00?PM | Saturday: 9:00?AM?–?10:00?PM | Sunday: 9:00?AM?–?10:00?PM;915 27 17 61;FALSO;VERDADERO
Brasil Tramites;Consulados, Embajadas;Instituciones y servicios públicos;Gran Vía, 6, 4ª Planta, Centro, 28013 Madrid, Spain;5;84;;Abierto;404195;369786;https://maps.google.com/?cid=7663127765542614249;http://www.brasiltramit.es/;Monday: 9:00?AM?–?7:00?PM | Tuesday: 9:00?AM?–?7:00?PM | Wednesday: 9:00?AM?–?7:00?PM | Thursday: 9:00?AM?–?7:00?PM | Friday: 9:00?AM?–?7:00?PM | Saturday: Closed | Sunday: Closed;665 89 95 50;FALSO;FALSO
Academia del Cine Español;Cines, Teatros;Cultura y arte;Calle de Zurbano, 3, Chamberí, 28010 Madrid, Spain;4,7;183;;Abierto;404274;369389;https://maps.google.com/?cid=16040205914645330321;https://www.academiadecine.com/;Monday: 9:30?AM?–?6:00?PM | Tuesday: 9:30?AM?–?6:00?PM | Wednesday: 9:30?AM?–?6:00?PM | Thursday: 9:30?AM?–?6:00?PM | Friday: 9:30?AM?–?6:00?PM | Saturday: Closed | Sunday: Closed;915 93 46 48;FALSO;FALSO
Posada del León de Oro;Albergues, Apartamentos turísticos, Campos de golf, Hostales, Hoteles, Restaurantes, Tapas, Templos budistas, Vegano, Vegetariano;Alojamiento, Bienestar y deporte, Gastronomía y ocio nocturno, Religión;C. de la Cava Baja, 12, Centro, 28005 Madrid, Spain;4,2;1484;;Abierto;404131;370853;https://maps.google.com/?cid=16120056129374585047;http://posadadelleondeoro.com/;Monday: Closed | Tuesday: Closed | Wednesday: 1:00?–?5:00?PM, 7:30?PM?–?12:00?AM | Thursday: 1:00?–?5:00?PM, 7:30?PM?–?12:00?AM | Friday: 1:00?–?5:00?PM, 7:30?PM?–?12:00?AM | Saturday: 12:30?PM?–?12:00?AM | Sunday: 12:30?PM?–?12:00?AM;911 19 14 94;VERDADERO;VERDADERO
Posada Del Dragón;Albergues, Apartamentos turísticos, Campos de golf, Hostales, Hoteles, Mercados, Perfumerías, Templos budistas, Tiendas, Tiendas de ropa;Alojamiento, Bienestar y deporte, Compras, Religión;C. de la Cava Baja, 14, Centro, 28005 Madrid, Spain;4,3;1279;;Abierto;404131;370860;https://maps.google.com/?cid=16654935675240823332;http://www.posadadeldragon.com/;Monday: 9:30?AM?–?10:00?PM | Tuesday: 9:30?AM?–?10:00?PM | Wednesday: 9:30?AM?–?10:00?PM | Thursday: 9:00?AM?–?10:00?PM | Friday: 9:30?AM?–?10:00?PM | Saturday: 9:30?AM?–?10:00?PM | Sunday: 9:30?AM?–?10:00?PM;911 19 14 24;FALSO;VERDADERO
Instituto Juan De Mariana;Universidades;Instituciones y servicios públicos;C. del Ángel, 2, Centro, 28005 Madrid, Spain;4,1;39;;Abierto;404103;371192;https://maps.google.com/?cid=18224414208563958405;http://www.juandemariana.org/;;;FALSO;VERDADERO
Parking Saba Plaza Mostenses;Aparcamientos;Transporte;Pl. de los Mostenses, s/n, Centro, 28015 Madrid, Spain;4;816;;Abierto;404228;37088;https://maps.google.com/?cid=1757517523242201794;https://www.saba.es/es/parking-madrid/parking-saba-plaza-mostenses?utm_source=gbp&utm_medium=organic&utm_campaign=plaza-mostenses;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;935 57 56 27;FALSO;VERDADERO
Centro Auditivo Aural – Madrid C. Velázquez;Clínicas;Instituciones y servicios públicos;Calle Velázquez, 27, Bajo Ext. Dcha e Izqda, Salamanca, 28001 Madrid, Spain;4,8;228;;Abierto;404244;368462;https://maps.google.com/?cid=6094513074979474934;https://www.auralcentrosauditivos.es/centro/madrid;Monday: 9:30?AM?–?7:30?PM | Tuesday: 9:30?AM?–?7:30?PM | Wednesday: 9:30?AM?–?7:30?PM | Thursday: 9:30?AM?–?7:30?PM | Friday: 9:30?AM?–?7:30?PM | Saturday: Closed | Sunday: Closed;915 42 27 19;FALSO;VERDADERO
Farmacia Ortega Luna;Farmacias;Compras;C. del Mesón de Paredes, 85, Centro, 28012 Madrid, Spain;4,5;24;;Abierto;404058;370114;https://maps.google.com/?cid=8731578848002120432;https://www.instagram.com/farmaciaortegaluna/;Monday: 9:15?AM?–?2:00?PM, 5:00?–?8:30?PM | Tuesday: 9:15?AM?–?2:00?PM, 5:00?–?8:30?PM | Wednesday: 9:15?AM?–?2:00?PM, 5:00?–?8:30?PM | Thursday: 9:15?AM?–?2:00?PM, 5:00?–?8:30?PM | Friday: 9:15?AM?–?2:00?PM, 5:00?–?8:30?PM | Saturday: 10:00?AM?–?2:00?PM | Sunday: Closed;915 27 50 52;FALSO;VERDADERO
Museum of the National Library;Bibliotecas, Centros culturales, Museos;Cultura y arte;P.º de Recoletos, 20, 22, Salamanca, 28001 Madrid, Spain;4,4;186;;Abierto;404238;369003;https://maps.google.com/?cid=6317885038705917753;http://www.bne.es/es/MuseoBibliotecaNacional/;Monday: 10:00?AM?–?8:00?PM | Tuesday: 10:00?AM?–?8:00?PM | Wednesday: 10:00?AM?–?8:00?PM | Thursday: 10:00?AM?–?8:00?PM | Friday: 10:00?AM?–?8:00?PM | Saturday: 10:00?AM?–?8:00?PM | Sunday: Closed;915 16 89 67;FALSO;VERDADERO
SEPES (Sociedad Española de Prótesis, Estomatología y Estética);Clínicas;Instituciones y servicios públicos;C. del Rey Francisco, 14, 5° Derecha, Moncloa - Aravaca, 28008 Madrid, Spain;4;3;;Abierto;404272;371657;https://maps.google.com/?cid=7000255586824804078;http://www.sepes.org/;Monday: 9:00?AM?–?4:00?PM | Tuesday: 9:00?AM?–?4:00?PM | Wednesday: 9:00?AM?–?4:00?PM | Thursday: 9:00?AM?–?4:00?PM | Friday: 9:00?AM?–?4:00?PM | Saturday: Closed | Sunday: Closed;915 76 53 40;FALSO;FALSO
Lavapiés;Estaciones de metro;Transporte;Centro, 28012 Madrid, Spain;4,2;232;;Abierto;404084;370070;https://maps.google.com/?cid=1117512999822086755;;;;FALSO;VERDADERO
Bodegas Rosell;Bares, Cervecerías, Coctelerías;Gastronomía y ocio nocturno;Calle del Gral. Lacy, 14, Arganzuela, 28045 Madrid, Spain;4,3;5955;Moderado;Abierto;404038;369092;https://maps.google.com/?cid=17404460362688599345;http://bodegasrosell.es/;Monday: Closed | Tuesday: 12:00?–?5:00?PM, 7:00?PM?–?12:00?AM | Wednesday: 12:00?–?5:00?PM, 7:00?PM?–?12:00?AM | Thursday: 12:00?–?5:00?PM, 7:00?PM?–?12:00?AM | Friday: 12:00?–?5:00?PM, 7:30?PM?–?12:00?AM | Saturday: 12:00?–?5:00?PM, 7:30?PM?–?12:00?AM | Sunday: Closed;914 67 84 58;VERDADERO;VERDADERO
Íris;Centros comerciales;Compras;C. Mayor, 12, Centro, Centro, 28013 Madrid, Spain;0;0;;Abierto;404165;370624;https://maps.google.com/?cid=359604477103289771;;;;FALSO;FALSO
Candidiasis Cronica;Hospitales;Instituciones y servicios públicos;Apto 0115, Calle de la Princesa, 3, piso 1º, Moncloa - Aravaca, 28008 Madrid, Spain;0;0;;Abierto;404246;371306;https://maps.google.com/?cid=89095256559907828;https://candidiasiscronicamadrid.wordpress.com/;Monday: 9:05?AM?–?2:00?PM, 3:00?–?8:00?PM | Tuesday: 9:05?AM?–?2:00?PM, 3:00?–?8:00?PM | Wednesday: 9:05?AM?–?2:00?PM, 3:00?–?8:00?PM | Thursday: 9:05?AM?–?2:00?PM, 3:00?–?8:00?PM | Friday: 9:05?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;919 22 35 69;FALSO;VERDADERO
Cuenca Club;Discotecas;Gastronomía y ocio nocturno;C. de Ventura Rodríguez, 7, Moncloa - Aravaca, 28008 Madrid, Spain;3,7;1921;Moderado;Abierto;404251;371362;https://maps.google.com/?cid=10251278507804739765;http://cuencaclub.es/;Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 11:59?PM?–?5:30?AM | Friday: 11:59?PM?–?6:00?AM | Saturday: 11:59?PM?–?6:00?AM | Sunday: Closed;;VERDADERO;FALSO
Starbucks;Cafés, Panaderías;Compras, Gastronomía y ocio nocturno;C. Alcalá, 21, Centro, 28014 Madrid, Spain;3,9;979;Moderado;Abierto;404180;369951;https://maps.google.com/?cid=3842211891946548897;http://www.starbucks.es/;Monday: 7:00?AM?–?10:00?PM | Tuesday: 7:00?AM?–?10:00?PM | Wednesday: 7:00?AM?–?10:00?PM | Thursday: 7:00?AM?–?10:00?PM | Friday: 7:00?AM?–?10:00?PM | Saturday: 8:00?AM?–?11:00?PM | Sunday: 8:00?AM?–?10:30?PM;912 75 81 11;FALSO;VERDADERO
Madrid;Centros comerciales;Compras;Centro, 28013 Madrid, Spain;4,7;22;;Abierto;404167;370379;https://maps.google.com/?cid=11101619571164569375;;;;FALSO;VERDADERO
Health MIP. Personalized Integrative Medicine.;Hospitales;Instituciones y servicios públicos;C. del Conde de Aranda, 15, Salamanca, 28001 Madrid, Spain;4,5;73;;Abierto;404218;368627;https://maps.google.com/?cid=1873894508447086031;http://mipsalud.com/;Monday: 9:00?AM?–?9:00?PM | Tuesday: 9:00?AM?–?9:00?PM | Wednesday: 9:00?AM?–?9:00?PM | Thursday: 9:00?AM?–?9:00?PM | Friday: 9:00?AM?–?9:00?PM | Saturday: Closed | Sunday: Closed;911 12 34 79;FALSO;VERDADERO
Calme de Maria de Madrid;Universidades;Instituciones y servicios públicos;C. de las Veneras, 5, Centro, Centro, 28013 Madrid, Spain;0;0;;Abierto;404193;370759;https://maps.google.com/?cid=13845099905266287062;;;;FALSO;VERDADERO
Gran Vía - Plaza de España;Estaciones de autobús;Transporte;Centro, 28013 Madrid, Spain;4;7;;Abierto;404229;371038;https://maps.google.com/?cid=17330831108708319645;;;;FALSO;VERDADERO
VP Jardín de Recoletos;Albergues, Aparcamientos, Apartamentos turísticos, Hostales, Hoteles, Restaurantes, Tapas, Vegano, Vegetariano;Alojamiento, Gastronomía y ocio nocturno, Transporte;C/ de Gil de Santivañes, 6, Salamanca, 28001 Madrid, Spain;4,5;679;;Abierto;404223;368916;https://maps.google.com/?cid=16830335632057096577;https://www.recoletos-hotel.com/?utm_source=google&utm_medium=organic&utm_campaign=knowledge-graph;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;917 81 16 40;FALSO;VERDADERO
Embajadores;Estaciones de autobús;Transporte;Centro, 28012 Madrid, Spain;4,5;2;;Abierto;404053;370231;https://maps.google.com/?cid=4016594513467021546;;;;FALSO;VERDADERO
Compro Oro - Oro Express;Joyerías;Compras;C. de Eloy Gonzalo, 9, Chamberí, 28010 Madrid, Spain;4,7;174;;Abierto;404341;370245;https://maps.google.com/?cid=13876495761758083466;https://oro-express.es/tiendas/madrid-chamberi-c-eloy-gonzalo/;Monday: 9:00?AM?–?8:00?PM | Tuesday: 9:00?AM?–?8:00?PM | Wednesday: 9:00?AM?–?8:00?PM | Thursday: 9:00?AM?–?8:00?PM | Friday: 9:00?AM?–?8:00?PM | Saturday: 10:00?AM?–?2:00?PM | Sunday: Closed;722 14 40 31;FALSO;FALSO
Big Tree Books;Bibliotecas;Cultura y arte;C. de las Dos Hermanas, 17, Centro Puerta derecha, Centro, 28012 Madrid, Spain;4,7;65;;Abierto;404103;370593;https://maps.google.com/?cid=14243873715275794807;https://www.instagram.com/bigtreebooksmadrid?igsh=MWh6MWhuNjlwdGMwcw==;Monday: Closed | Tuesday: 5:00?–?11:30?PM | Wednesday: 5:00?–?11:30?PM | Thursday: 5:00?–?11:30?PM | Friday: 5:00?–?11:30?PM | Saturday: 11:00?AM?–?11:30?PM | Sunday: 11:00?AM?–?8:00?PM;;FALSO;VERDADERO
Cinesa;Cines, Teatros;Cultura y arte;Estación Príncipe Pío, C. de Mozart, 2, Moncloa - Aravaca, 28008 Madrid, Spain;4,2;7293;;Abierto;404228;372136;https://maps.google.com/?cid=12566539266559564289;http://www.cinesa.es/Cines/Principe-Pio;;932 28 96 00;FALSO;VERDADERO
Galleria Canalejas;Centros comerciales;Compras;Pl. de Canalejas, 1, Centro, 28014 Madrid, Spain;4,5;3538;;Abierto;404169;370045;https://maps.google.com/?cid=2726742695866006637;http://galeriacanalejas.com/;Monday: 10:30?AM?–?9:00?PM | Tuesday: 10:30?AM?–?9:00?PM | Wednesday: 10:30?AM?–?9:00?PM | Thursday: 10:30?AM?–?9:00?PM | Friday: 10:30?AM?–?9:00?PM | Saturday: 10:30?AM?–?9:00?PM | Sunday: 12:00?–?8:00?PM;911 08 56 06;FALSO;VERDADERO
Ruda Café;Panaderías;Compras;C. de la Ruda, 11, Centro, 28005 Madrid, Spain;4,6;1472;Barato;Abierto;404104;370797;https://maps.google.com/?cid=17171292281646364805;https://rudacafe.com/;Monday: 8:00?AM?–?8:00?PM | Tuesday: 8:00?AM?–?8:00?PM | Wednesday: 8:00?AM?–?8:00?PM | Thursday: 8:00?AM?–?8:00?PM | Friday: 8:00?AM?–?8:00?PM | Saturday: 9:00?AM?–?8:00?PM | Sunday: 9:00?AM?–?8:00?PM;910 46 59 32;FALSO;FALSO
Kiehls;Centros comerciales, Tiendas de ropa;Compras;Calle de Fuencarral, 37, Centro, 28004 Madrid, Spain;4,5;278;;Abierto;404225;370098;https://maps.google.com/?cid=18196434839964929044;https://www.kiehls.es/;Monday: 10:00?AM?–?9:30?PM | Tuesday: 10:00?AM?–?9:30?PM | Wednesday: 10:00?AM?–?9:30?PM | Thursday: 10:00?AM?–?9:30?PM | Friday: 10:00?AM?–?9:30?PM | Saturday: 10:00?AM?–?9:30?PM | Sunday: 12:00?–?8:00?PM;915 23 28 16;FALSO;VERDADERO
Spanish courses in Madrid Enforex;Colegios;Instituciones y servicios públicos;C. de Baltasar Gracián, 4, Centro, 28015 Madrid, Spain;4,7;383;;Abierto;404295;371023;https://maps.google.com/?cid=6937195611863656759;https://www.enforex.com/learn-spanish/school-madrid/?SFSEALOCAL=GENFMAD;Monday: 8:00?AM?–?3:00?PM | Tuesday: 9:00?AM?–?3:00?PM | Wednesday: 9:00?AM?–?3:00?PM | Thursday: 9:00?AM?–?3:00?PM | Friday: 9:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;915 47 48 52;FALSO;VERDADERO
Store Fashion Men Multimarca - ALMIRANTE SEIS - Madrid;Tiendas de ropa, Zapaterías;Compras;Calle del Almirante, 6, Centro, 28004 Madrid, Spain;4,3;47;;Abierto;404224;369502;https://maps.google.com/?cid=7122283073526875341;https://almiranteseis.com/;Monday: 11:00?AM?–?8:15?PM | Tuesday: 11:00?AM?–?8:15?PM | Wednesday: 11:00?AM?–?8:15?PM | Thursday: 11:00?AM?–?8:15?PM | Friday: 11:00?AM?–?8:15?PM | Saturday: 11:00?AM?–?8:15?PM | Sunday: Closed;915 21 81 83;FALSO;VERDADERO
Unae Federación Unión Civica Nacional de Consumidores y Amas de Hogar de España;Bibliotecas;Cultura y arte;C. de Villanueva, 8, Salamanca, 28001 Madrid, Spain;0;0;;Abierto;404226;368916;https://maps.google.com/?cid=3011111863465705696;;;915 75 72 19;FALSO;FALSO
PARKING IN THE WAREHOUSE snifter;Aparcamientos, Centros comerciales;Compras, Transporte;Calle de Núñez de Balboa, 24, local b, Salamanca, 28001 Madrid, Spain;2,7;32;;Abierto;404242;368273;https://maps.google.com/?cid=1058018337875283443;;Monday: 9:00?AM?–?10:00?PM | Tuesday: 9:00?AM?–?10:00?PM | Wednesday: 9:00?AM?–?10:00?PM | Thursday: 9:00?AM?–?10:00?PM | Friday: 9:00?AM?–?10:00?PM | Saturday: 9:00?AM?–?10:00?PM | Sunday: Closed;910 51 13 65;FALSO;FALSO
Cía de la Moda;Tiendas de ropa;Compras;P.º de Recoletos, 5, Centro, 28004 Madrid, Spain;4,8;12;;Abierto;404206;369320;https://maps.google.com/?cid=17247394823838782735;http://www.ciadelamoda.com/;Monday: 10:00?AM?–?6:30?PM | Tuesday: 10:00?AM?–?6:30?PM | Wednesday: 10:00?AM?–?6:30?PM | Thursday: 10:00?AM?–?6:30?PM | Friday: 10:00?AM?–?6:30?PM | Saturday: Closed | Sunday: Closed;913 08 13 93;FALSO;FALSO
Prueba de Artista;Galerías de arte;Cultura y arte;Calle de Gonzalo de Córdoba, 20, Chamberí, 28010 Madrid, Spain;5;18;;Abierto;404323;370189;https://maps.google.com/?cid=17663061138764952010;http://www.pruebadeartista.com/;Monday: 5:00?–?8:00?PM | Tuesday: 11:00?AM?–?2:00?PM, 5:00?–?8:00?PM | Wednesday: 11:00?AM?–?2:00?PM, 5:00?–?8:00?PM | Thursday: 11:00?AM?–?2:00?PM, 5:00?–?8:00?PM | Friday: 11:00?AM?–?2:00?PM, 5:00?–?8:00?PM | Saturday: 11:00?AM?–?2:00?PM | Sunday: Closed;915 94 16 20;FALSO;FALSO
Carrefour Express;Supermercados;Compras;Calle de Zurbano, 11, Chamberí, 28010 Madrid, Spain;3,7;393;;Abierto;404285;369387;https://maps.google.com/?cid=15399413507495643672;https://www.carrefour.es/tiendas-carrefour/supermercados/carrefour-express/zurbano-s.aspx;Monday: 9:00?AM?–?10:00?PM | Tuesday: 9:00?AM?–?10:00?PM | Wednesday: 9:00?AM?–?10:00?PM | Thursday: 9:00?AM?–?10:00?PM | Friday: 9:00?AM?–?10:00?PM | Saturday: 9:00?AM?–?10:00?PM | Sunday: 10:00?AM?–?4:00?PM;914 90 89 00;FALSO;FALSO
Hotel Puerta de Toledo;Albergues, Apartamentos turísticos, Hostales, Hoteles;Alojamiento;Gta. de la Prta de Toledo, 4, Arganzuela, 28005 Madrid, Spain;4,3;3908;;Abierto;404063;371227;https://maps.google.com/?cid=8563486437598637564;https://www.hotelpuertadetoledo.com/;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;914 74 71 00;FALSO;VERDADERO
Vualá - librería infantil y juvenil;Librerías;Compras;C. de Sta. Feliciana, 17, Chamberí, 28010 Madrid, Spain;4,8;244;;Abierto;404335;369855;https://maps.google.com/?cid=7807506295158276119;http://www.libreriavuala.com/;Monday: 11:00?AM?–?3:00?PM, 4:00?–?8:00?PM | Tuesday: 11:00?AM?–?3:00?PM, 4:00?–?8:00?PM | Wednesday: 11:00?AM?–?3:00?PM, 4:00?–?8:00?PM | Thursday: 11:00?AM?–?3:00?PM, 4:00?–?8:00?PM | Friday: 11:00?AM?–?3:00?PM, 4:00?–?8:00?PM | Saturday: 11:00?AM?–?3:00?PM, 4:00?–?8:00?PM | Sunday: 11:00?AM?–?2:00?PM;914 48 60 15;FALSO;FALSO
