PLACE_ID;NOMBRE_TUI;TIPOS_API;TIPOS_TODOS;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
ChIJ0R-VONYnQg0R70j4TDkLDOQ;Cajero Automático Unicaja Banco;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Pl. de la Cebada, 7, Centro, 28005 Madrid, Spain;50;2;No Disponible;Abierto;40411473;-3,70965E+16;https://www.google.com/maps/place/?q=place_id:ChIJ0R-VONYnQg0R70j4TDkLDOQ;https://www.unicajabanco.es/es/mapa-de-oficinas-y-cajeros?utm_source=google-maps&utm_medium=referral&utm_campaign=gmb-web_cajero_madrid_madrid_3311000-atm;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];901 21 03 00;FALSO;VERDADERO
ChIJezdMDgAnQg0RC0zO2OlylhY;Banco Santander;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Palacio, Centro, Centro, 28005 Madrid, Spain;10;1;No Disponible;Abierto;404113615;-3,70847E+16;https://www.google.com/maps/place/?q=place_id:ChIJezdMDgAnQg0RC0zO2OlylhY;;['Monday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];;FALSO;VERDADERO
ChIJa6bM6aYpQg0ROJtdC_j9TlM;Euronet ATM;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Farmacia Mayor, C. Mayor, 88, Centro, 28013 Madrid, Spain;;0;No Disponible;Abierto;404151808;-3,71319E+16;https://www.google.com/maps/place/?q=place_id:ChIJa6bM6aYpQg0ROJtdC_j9TlM;https://www.euronetatms.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];912 86 84 48;FALSO;FALSO
ChIJt6K8_v8nQg0Rj9LHPCUso34;Cajero Euro Automatic Cash;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Pl. de la Cebada, 17, 0, Centro, 28005 Madrid, Spain;;0;No Disponible;Abierto;4,04113E+16;-3,7098E+16;https://www.google.com/maps/place/?q=place_id:ChIJt6K8_v8nQg0Rj9LHPCUso34;http://www.euroautomaticcash.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];913 34 07 61;FALSO;FALSO
ChIJHfiVNtMnQg0RzFyX2XXlp40;Euronet ATM;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;C. de Embajadores, 2, Centro, 28012 Madrid, Spain;50;1;No Disponible;Abierto;4,04105E+16;-37069258;https://www.google.com/maps/place/?q=place_id:ChIJHfiVNtMnQg0RzFyX2XXlp40;;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];;FALSO;VERDADERO
ChIJpaXGfaMnQg0RgPtJnhtUIWE;Cajero Euro Automatic Cash;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Renfe Atocha, Pl. del Emperador Carlos V, Espacio 6, Arganzuela, 28007 Madrid, Spain;37;3;No Disponible;Abierto;404085912;-3,69191E+16;https://www.google.com/maps/place/?q=place_id:ChIJpaXGfaMnQg0RgPtJnhtUIWE;http://www.euroautomaticcash.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];913 34 07 61;FALSO;FALSO
ChIJD0s2wXcnQg0RY1fQQt6A5VM;Cajero automático Kutxabank;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Paseo de las Delicias, 22, Arganzuela, 28045 Madrid, Spain;10;1;No Disponible;Abierto;40405661;-3,69382E+16;https://www.google.com/maps/place/?q=place_id:ChIJD0s2wXcnQg0RY1fQQt6A5VM;https://www.kutxabank.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];900 445 566;FALSO;VERDADERO
ChIJXcwiczUnQg0RMZRE6MEEsVM;Cajero automático Bankinter;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Paseo de las Delicias, 31, Arganzuela, 28045 Madrid, Spain;10;1;No Disponible;Abierto;4,04044E+16;-36933608;https://www.google.com/maps/place/?q=place_id:ChIJXcwiczUnQg0RMZRE6MEEsVM;https://www.bankinter.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];902 36 55 63;FALSO;VERDADERO
ChIJQ5BiSUwnQg0RxWfdS23VBkI;Euronet ATM;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Estanco, P.º de la Infanta Isabel, 19, Retiro, 28014 Madrid, Spain;;0;No Disponible;Abierto;4,04067E+16;-36872635;https://www.google.com/maps/place/?q=place_id:ChIJQ5BiSUwnQg0RxWfdS23VBkI;https://www.euronetatms.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];912 86 84 48;FALSO;VERDADERO
ChIJ6WokNhwmQg0R7DBqWZcMxSM;Santander ATM;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Av. de Menéndez Pelayo, 12, Retiro, 28007 Madrid, Spain;35;2;No Disponible;Abierto;40410731;-3,67633E+16;https://www.google.com/maps/place/?q=place_id:ChIJ6WokNhwmQg0R7DBqWZcMxSM;;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];902 24 24 24;FALSO;VERDADERO
ChIJoS4NOAImQg0RA8trVWbMCxo;Santander ATM;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;C. de la Cruz del Sur, 4, Retiro, 28007 Madrid, Spain;10;1;No Disponible;Abierto;404121112;-36687443;https://www.google.com/maps/place/?q=place_id:ChIJoS4NOAImQg0RA8trVWbMCxo;;;;FALSO;FALSO
ChIJXUx6UAwlQg0R7sMxnOGomP4;ATM CaixaBank - Cajero;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;cc Alcampo, C. de Manuel Machado, 3, Bajo, Moratalaz, 28030 Madrid, Spain;;0;No Disponible;Abierto;404118912;-3,65977E+16;https://www.google.com/maps/place/?q=place_id:ChIJXUx6UAwlQg0R7sMxnOGomP4;https://www.caixabank.es/particular/home/particulares_es.html?Origen=GMB;;900 404 090;FALSO;FALSO
ChIJcVs2rIclQg0R_gMKJzCfy2k;Cajero Euro Automatic Cash;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Alcampo Moratalaz, C. del Camino de los Vinateros, Moratalaz, 28030 Madrid, Spain;;0;No Disponible;Abierto;404120834;-3,6605E+16;https://www.google.com/maps/place/?q=place_id:ChIJcVs2rIclQg0R_gMKJzCfy2k;http://www.euroautomaticcash.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];913 34 07 61;FALSO;FALSO
ChIJ0XG5j7IlQg0RnI639f6BpCA;ATM CaixaBank - Cajero;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;C. del Camino de los Vinateros, 42, Moratalaz, 28030 Madrid, Spain;;0;No Disponible;Abierto;404104871;-3,65425E+16;https://www.google.com/maps/place/?q=place_id:ChIJ0XG5j7IlQg0RnI639f6BpCA;https://www.caixabank.es/particular/home/particulares_es.html?Origen=GMB;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];900 404 090;FALSO;FALSO
ChIJB29gHGonQg0R2YJYiW2ZGWg;ATM CaixaBank - Cajero;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;C. de la Cruz del Sur, 4, Retiro, 28007 Madrid, Spain;;0;No Disponible;Abierto;4,04114E+16;-36683457;https://www.google.com/maps/place/?q=place_id:ChIJB29gHGonQg0R2YJYiW2ZGWg;https://www.caixabank.es/particular/home/particulares_es.html?Origen=GMB;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];900 404 090;FALSO;FALSO
ChIJs-eFvF0nQg0RcdR24wCFqA8;ATM CaixaBank - Cajero;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Av. del Mediterráneo, 30, Retiro, 28007 Madrid, Spain;20;1;No Disponible;Abierto;404068116;-36729363;https://www.google.com/maps/place/?q=place_id:ChIJs-eFvF0nQg0RcdR24wCFqA8;https://www.caixabank.es/particular/home/particulares_es.html?Origen=GMB;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];900 404 090;FALSO;FALSO
