PLACE_ID,NOMBRE_TUI,TIPOS_TUI,CATEGORIA_TUI,DIRECCION,RATING_TUI,TOTAL_VALORACIONES_TUI,PRECIO,ESTADO_NEGOCIO,LATITUD_TUI,LONGITUD_TUI,URL,WEBSITE,HORARIO,TELEFONO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS
ChIJBz8tv0opQg0RFNDqYAtMF-I,Panteón de los Condes de Medinaceli,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Pl. de Jesús, Centro, 28014 Madrid, Spain","4,5",2,Barato,Abierto,40.414030100000005,-3.6957791000000006,https://maps.google.com/?cid=2327531092719942707,,,,NO,NO
ChIJq_MTRwApQg0RaoTxk6v-q78,Sede de la iglesia de la cienciología en España,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. del Prado, 27, Centro, Centro, 28014 Madrid, Spain",0,0,Moderado,Abierto,40.41528530000001,-3.6976626,https://maps.google.com/?cid=5950338475657467924,,,,NO,NO
ChIJZ8xFdJ0oQg0RwgcVJGz5clA,Iglesia de San Jerónimo el Real,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de Moreto, 4, Retiro, 28014 Madrid, Spain","4,6",2308,Barato,Abierto,40.4145,-3.6909801,https://maps.google.com/?cid=3501571599666691953,https://www.parroquiasanjeronimoelreal.es/,,914 20 30 78,NO,SI
ChIJE8WwWacoQg0RjuitfSLakrY,Iglesia del Hospital del Niño Jesús,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Av. de Menéndez Pelayo, 65, Retiro, 28009 Madrid, Spain","4,7",114,—,Abierto,40.4139317,-3.6767487,https://maps.google.com/?cid=18159497228827596567,https://pueriiesu.es/,"Monday: 1:30–2:00PM | Tuesday: 1:30–2:00PM | Wednesday: 1:30–2:00PM | Thursday: 1:30–2:00PM | Friday: 1:30–2:00PM | Saturday: 1:30–2:00PM, 6:30–7:00PM | Sunday: 12:00–2:00PM, 8:00–8:45PM",,NO,SI
ChIJG5dQWx0mQg0RVyu-Ehssm98,Parish Church of Santa Maria del Pilar,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de los Reyes Magos, 3, Retiro, 28009 Madrid, Spain","4,6",110,—,Abierto,40.4133147,-3.67333,https://maps.google.com/?cid=7498495246594614761,https://parroquiasantamariadelpilar.com/,,915 74 81 20,NO,SI
ChIJxSXaIAImQg0RjyYV766cmpU,Parish of Our Lady Queen of Heaven,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Pje. Can Menor, 5, Retiro, 28007 Madrid, Spain","4,5",150,—,Abierto,40.41255829999999,-3.6669600000000004,https://maps.google.com/?cid=11941328238553880333,http://www.reinacielo.com/,,915 73 61 31,NO,NO
ChIJO0XH0P4lQg0RPTycvDDE8h0,Parroquia de la Presentación de Nuestra Señora,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. del Corregidor Diego de Valderrábano, 62, Moratalaz, 28030 Madrid, Spain","4,6",384,Caro,Abierto,40.411500000000004,-3.6575800000000003,https://maps.google.com/?cid=18384098482895713821,http://lapresentacion.es/,Monday: 7:30AM–11:00PM | Tuesday: 7:30AM–11:00PM | Wednesday: 7:30AM–11:00PM | Thursday: 7:30AM–11:00PM | Friday: 7:30AM–11:00PM | Saturday: 7:30AM–11:00PM | Sunday: 7:30AM–11:00PM,914 39 03 22,NO,SI
ChIJBc21_hMlQg0RrRAaGrbI4kQ,Presen,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de la Primavera de Praga, 1, Moratalaz, 28030 Madrid, Spain",0,0,—,Abierto,40.4113968,-3.6574300000000006,https://maps.google.com/?cid=13895496264063322297,,,,NO,NO
ChIJFZMU8HQoQg0REkK5D53WAU4,Chapel of the Virgin of the Harbour,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"P.º de la Virgen del Puerto, 4, Centro, 28013 Madrid, Spain","4,6",1204,—,Abierto,40.4154821,-3.7212400000000003,https://maps.google.com/?cid=12520972832888668958,http://www.ermitavirgendelpuerto.es/,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: 7:00AM–9:00PM | Sunday: 10:00AM–2:00PM,648 84 19 91,NO,SI
ChIJI_FYeHcoQg0RcqwG5gDs3H8,Catedral de Santa María la Real de la Almudena,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de Bailén, 10, Centro, 28013 Madrid, Spain","4,6",28508,—,Abierto,40.415651,-3.7145520000000003,https://maps.google.com/?cid=5581835361468834642,https://catedraldelaalmudena.es/,Monday: 10:00AM–8:30PM | Tuesday: 10:00AM–8:30PM | Wednesday: 10:00AM–8:30PM | Thursday: 10:00AM–8:30PM | Friday: 10:00AM–8:30PM | Saturday: 10:00AM–8:30PM | Sunday: 10:00AM–8:30PM,915 42 22 00,NO,SI
ChIJt6wBIaopQg0RENkMHcKz9Vk,Tribunal eclesiástico metropolitano de Madrid,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de Bailén, 8, Centro, 28013 Madrid, Spain",5,4,—,Cerrado temporalmente,40.4161758,-3.715169999999999,https://maps.google.com/?cid=9723027248171381509,,,916 00 36 79,NO,SI
ChIJAQAAE3coQg0RbxKEhJp6PJE,PDM,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de Bailén, 8, Centro, 28013 Madrid, Spain","4,5",6,—,Abierto,40.4158566,-3.7144800000000004,https://maps.google.com/?cid=4138352769828643160,http://vevangelizacionmadrid.com/,,914 54 64 24,NO,NO
ChIJdbLfnnkoQg0R_x9E73uWcIU,Royal Church of Saint James and Saint John the Baptist,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Calle de Santiago, 24, Centro, 28013 Madrid, Spain","4,5",1221,—,Abierto,40.416964300000004,-3.7110399999999997,https://maps.google.com/?cid=14114048777691889706,http://www.santiagoysanjuan.org/,"Monday: 10:00AM–1:00PM, 6:00–8:00PM | Tuesday: 10:00AM–1:00PM, 6:00–8:00PM | Wednesday: 10:00AM–1:00PM, 6:00–8:00PM | Thursday: 10:00AM–1:00PM, 6:00–8:00PM | Friday: 10:00AM–1:00PM, 6:00–8:00PM | Saturday: 10:00AM–1:00PM, 6:00–8:00PM | Sunday: 11:00AM–1:00PM, 6:00–8:00PM",915 48 08 24,NO,SI
