NOMBRE_TUI,CATEGORIA_TUI,TIPOS_TUI,DIRECCION_TUI,WEBSITE,TELEFONO,HORARIO,RATING_TUI,TOTAL_VALORACIONES_TUI,GOOGLE_MAPS_URL,ESTADO_NEGOCIO,NIVEL_PRECIO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS,DESCRIPCION_TUI,LATITUD_TUI,LONGITUD_TUI
TropicalísimO,bares,"meal_takeaway, meal_delivery, bar, restaurant, food, point_of_interest, establishment","Calle de Gutierre de Cetina, 21 28017 Madrid, Spain",http://tropicalisimo.es/,911 62 82 48,Monday: 12:30 – 11:00 PM | Tuesday: 12:30 – 11:00 PM | Wednesday: 12:30 – 11:00 PM | Thursday: 12:30 – 11:00 PM | Friday: 12:30 – 11:00 PM | Saturday: 12:30 – 11:00 PM | Sunday: 12:30 – 11:00 PM,3.8,2847,https://maps.google.com/?cid=10283715930236156033,OPERATIONAL,1,True,False,"Colombian staples like empanadas & fried plantains, plus burgers & hot dogs, in a convivial setup.",40.43352,-3.64385
A'Conchiña,bares,"bar, restaurant, food, point_of_interest, establishment","Calle de Benidorm, 32 28017 Madrid, Spain",http://cerveceriaconchiña.es/,913 26 26 19,,4.5,4482,https://maps.google.com/?cid=9148154545066260671,CLOSED_TEMPORARILY,1,True,False,"Tapas & Galician specialties, including renowned patatas bravas, at a casual bar with sports on TV.",40.43162,-3.65058
Cris Café,bares,"bar, point_of_interest, establishment","Calle Alcalá, 306 28027 Madrid, Spain",,913 68 36 84,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 7:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,3.8,76,https://maps.google.com/?cid=157220923911083521,OPERATIONAL,1,True,False,,40.43276,-3.64913
100 Montaditos,bares,"bar, restaurant, food, point_of_interest, establishment","Calle del Corregidor Diego de Valderrábano, 25 28030 Madrid, Spain",http://spain.100montaditos.com/,912 77 73 81,Monday: 10:00 AM – 12:30 AM | Tuesday: 10:00 AM – 12:30 AM | Wednesday: 10:00 AM – 12:30 AM | Thursday: 10:00 AM – 12:30 AM | Friday: 10:00 AM – 1:00 AM | Saturday: 10:30 AM – 1:00 AM | Sunday: 10:30 AM – 12:30 AM,3.8,1350,https://maps.google.com/?cid=20597571558873180,OPERATIONAL,1,False,True,"Chain with many Spanish mini-sandwiches plus beer & wine in a tavernlike, counter-serve setting.",40.41183,-3.65837
Cervecería Gambrinus,bares,"bar, restaurant, food, point_of_interest, establishment","Calle de Manuel Machado, 12 28030 Madrid, Spain",https://gambrinus.es/,913 28 44 21,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,3.8,638,https://maps.google.com/?cid=7366860306098750138,OPERATIONAL,1,True,True,,40.41197,-3.6593
Pollos a la Brasa,bares,"meal_delivery, bar, meal_takeaway, restaurant, food, point_of_interest, establishment","Calle de Florencio Llorente, 3 28027 Madrid, Spain",,914 04 01 68,"Monday: 12:00 – 4:30 PM, 8:00 PM – 12:00 AM | Tuesday: Closed | Wednesday: 12:00 – 4:30 PM, 8:00 PM – 12:00 AM | Thursday: 12:00 – 4:30 PM, 8:00 PM – 12:00 AM | Friday: 12:00 – 4:30 PM, 8:00 PM – 12:00 AM | Saturday: 12:00 – 4:30 PM, 8:00 PM – 12:00 AM | Sunday: 12:00 – 4:30 PM, 8:00 PM – 12:00 AM",3.6,165,https://maps.google.com/?cid=4549109372975568241,OPERATIONAL,,True,False,,40.43298,-3.65246
El punto de encuentro,bares,"bar, point_of_interest, establishment","Avenida de Moratalaz, 45 28030 Madrid, Spain",,652 34 62 10,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 7:00 AM – 1:00 AM | Saturday: 7:30 AM – 1:00 AM | Sunday: 7:30 AM – 12:00 AM,4.0,127,https://maps.google.com/?cid=14911069000065833507,OPERATIONAL,1,True,False,,40.407,-3.65747
Bar Restaurante Estrella,bares,"bar, restaurant, food, point_of_interest, establishment","Calle de la Hacienda de Pavones, 225 28030 Madrid, Spain",,,Monday: Closed | Tuesday: 9:30 AM – 11:30 PM | Wednesday: 9:30 AM – 11:30 PM | Thursday: 9:30 AM – 11:30 PM | Friday: 9:30 AM – 11:59 PM | Saturday: 10:00 AM – 11:59 PM | Sunday: 10:00 AM – 11:00 PM,3.9,372,https://maps.google.com/?cid=8957443830842701923,OPERATIONAL,1,True,False,,40.40159,-3.63385
Maset Madrid,bares,"bar, food, point_of_interest, establishment","Calle de Alfonso Gómez, 42 28037 Madrid, Spain",http://www.maset.com/,913 91 75 18,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 8:00 PM | Saturday: Closed | Sunday: Closed,3.9,33,https://maps.google.com/?cid=11019168574534247855,OPERATIONAL,1,False,False,,40.43399,-3.62644
Malas Intenciones Premium Bar,bares,"bar, night_club, point_of_interest, establishment","Calle Luva, 3 28027 Madrid, Spain",https://www.instagram.com/malasintenciones_premiumbar/,622 03 38 07,Monday: 7:00 PM – 5:30 AM | Tuesday: 7:00 PM – 5:30 AM | Wednesday: 7:00 PM – 5:30 AM | Thursday: 7:00 PM – 5:30 AM | Friday: 7:00 PM – 6:00 AM | Saturday: 7:00 PM – 6:00 AM | Sunday: 7:00 PM – 5:30 AM,3.8,991,https://maps.google.com/?cid=1614360687212176191,OPERATIONAL,2,True,False,"Energetic haunt with a party vibe featuring cocktails, live bands, musicians & other entertainment.",40.43766,-3.63942
